continent.x	country	term	estimate	std.error	statistic	p.value	continent.y	sd
Asia	Afghanistan	(Intercept)	29.9072948717949	0.663999539495009	45.0411379720839	7.00195141003726e-13	Asia	1.22278798153463
Asia	Afghanistan	I(year - 1952)	0.275328671328671	0.0204509335898207	13.4628900983627	9.83521290305262e-08	Asia	1.22278798153463
Europe	Albania	(Intercept)	59.2291282051282	1.07684403179424	55.0025133226031	9.56547054021611e-14	Europe	1.9830615260166
Europe	Albania	I(year - 1952)	0.334683216783216	0.033166387129677	10.0910363095818	1.46276319026075e-06	Europe	1.9830615260166
Africa	Algeria	(Intercept)	43.3749743589744	0.718420236072586	60.3754908075723	3.77607470991385e-14	Africa	1.32300638495765
Africa	Algeria	I(year - 1952)	0.56927972027972	0.0221270703721839	25.7277493452258	1.80814336319391e-10	Africa	1.32300638495765
Africa	Angola	(Intercept)	32.1266538461539	0.764035492705228	42.0486406101406	1.38788764029736e-12	Africa	1.40700913536231
Africa	Angola	I(year - 1952)	0.20933986013986	0.0235320029490744	8.89596438488014	4.59349840616498e-06	Africa	1.40700913536231
Americas	Argentina	(Intercept)	62.6884358974359	0.158728937803766	394.940183969079	2.66477000620906e-22	Americas	0.292307186863136
Americas	Argentina	I(year - 1952)	0.231708391608391	0.00488879098963894	47.3958473781069	4.21556744714119e-13	Americas	0.292307186863136
Oceania	Australia	(Intercept)	68.4005128205128	0.33700348729615	202.966780460655	2.07189539998203e-19	Oceania	0.620608584027623
Oceania	Australia	I(year - 1952)	0.227723776223776	0.0103795793946983	21.9395957739957	8.667221611503e-10	Oceania	0.620608584027623
Europe	Austria	(Intercept)	66.4484615384616	0.221231845219562	300.356675470995	4.11630044699774e-21	Europe	0.407409381146483
Europe	Austria	I(year - 1952)	0.241992307692307	0.00681385679571359	35.5147334244737	7.43523965862184e-12	Europe	0.407409381146483
Asia	Bahrain	(Intercept)	52.7492051282051	0.890329904800453	59.2468082266962	4.5581464373523e-14	Asia	1.63958653950098
Asia	Bahrain	I(year - 1952)	0.467507692307692	0.0274218228674575	17.0487459775149	1.01585466423227e-08	Asia	1.63958653950098
Asia	Bangladesh	(Intercept)	36.1354871794872	0.530363621015227	68.1334196910344	1.1303563068906e-14	Asia	0.976690830409053
Asia	Bangladesh	I(year - 1952)	0.498130769230769	0.0163349980635352	30.4946941097441	3.36950099089235e-11	Asia	0.976690830409053
Europe	Belgium	(Intercept)	67.8919230769231	0.159052196876879	426.853098605596	1.2251999102873e-22	Europe	0.292902484428892
Europe	Belgium	I(year - 1952)	0.209084615384615	0.00489874724629774	42.6812417282054	1.19628011775419e-12	Europe	0.292902484428892
Africa	Benin	(Intercept)	39.5885128205128	0.637881859751381	62.0624528120971	2.86846806338235e-14	Africa	1.17469098297291
Africa	Benin	I(year - 1952)	0.334232867132867	0.0196465189747694	17.0123199719044	1.0371382348889e-08	Africa	1.17469098297291
Americas	Bolivia	(Intercept)	38.7564487179487	0.643178424370859	60.2576940541177	3.85035637081704e-14	Americas	1.18444486859314
Americas	Bolivia	I(year - 1952)	0.499932167832167	0.0198096511530982	25.2367981631004	2.18647531760797e-10	Americas	1.18444486859314
Europe	Bosnia and Herzegovina	(Intercept)	58.0895641025641	1.22541651246341	47.4039345085932	4.20841035710484e-13	Europe	2.25666509490946
Europe	Bosnia and Herzegovina	I(year - 1952)	0.349755244755244	0.0377423630975986	9.2669143119313	3.17939497468637e-06	Europe	2.25666509490946
Africa	Botswana	(Intercept)	52.9291153846154	3.31904058114134	15.9471130559104	1.9386111418546e-08	Africa	6.11217733062277
Africa	Botswana	I(year - 1952)	0.0606685314685308	0.102225189129595	0.593479278298216	0.566041352585499	Africa	6.11217733062277
Americas	Brazil	(Intercept)	51.5120384615385	0.177152918887192	290.777249311599	5.69194818589178e-21	Americas	0.326235858949216
Americas	Brazil	I(year - 1952)	0.39008951048951	0.00545624260848165	71.494165212361	6.99043321717699e-15	Americas	0.326235858949216
Europe	Bulgaria	(Intercept)	65.7373076923078	1.36250296692515	48.2474602170311	3.53039350319455e-13	Europe	2.50911657864767
Europe	Bulgaria	I(year - 1952)	0.14568881118881	0.0419645738214089	3.47170953787894	0.00600390231654286	Europe	2.50911657864767
Africa	Burkina Faso	(Intercept)	34.6846923076923	1.11161364684703	31.2021109187276	2.68483973895909e-11	Africa	2.0470914912203
